Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-12-08 17:49 (EST),On Demand,Olivia Amato,5,Cycling,Low Impact,5 min Cool Down Ride,2020-03-01 07:30 (EST),11,37,31%,59,10.19,0.85,62,134.98,,
2020-12-08 17:55 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-19 14:45 (EST),,,,,,,58,130.04,,
2020-12-08 18:46 (EST),Live,Anna Greenberg,10,Meditation,Zen in Ten,Zen in Ten,2020-12-08 18:36 (EST),,,,,,,,,,
2020-12-09 17:50 (EST),On Demand,Chelsea Jackson Roberts,5,Meditation,Fitness Focus,5 min Rest Day Meditation,2020-11-06 10:00 (EST),,,,,,,,,,
2020-12-10 18:58 (EST),On Demand,Olivia Amato,15,Cycling,Low Impact,15 min Low Impact Ride,2020-09-21 06:37 (EST),105,117,40%,82,17.13,4.28,198,140.04,,
2020-12-10 19:15 (EST),On Demand,Olivia Amato,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-12-07 09:00 (EST),,,,,,,92,114.62,,
2020-12-10 19:27 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-07-08 13:27 (EST),,,,,,,43,110.53,,
2020-12-11 15:29 (EST),On Demand,Robin Arzon,30,Bike Bootcamp,Body Focus,30 min Bootcamp: Full Body,2020-09-15 09:15 (EST),127,,,,17.03,4.94,347,146.47,,
2020-12-11 16:00 (EST),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-10 15:33 (EST),,,,,,,50,118.98,,
2020-12-12 13:40 (EST),On Demand,Cody Rigsby,30,Bike Bootcamp,Body Focus,30 min Bootcamp: Full Body,2020-10-14 09:00 (EST),140,,,,18.43,4.77,420,146.30,,
2020-12-12 14:11 (EST),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-08 09:00 (EST),,,,,,,52,121.69,,
2020-12-12 14:17 (EST),On Demand,Cody Rigsby,5,Meditation,Fitness Focus,5 min Post Ride Meditation,2020-11-10 16:30 (EST),,,,,,,42,109.59,,
2020-12-13 17:03 (EST),On Demand,Jess Sims,30,Bike Bootcamp,Bodyweight,30 min Bootcamp: Bodyweight,2020-09-15 09:00 (EST),149,,,,18.17,5.25,424,145.81,,
2020-12-13 17:36 (EST),On Demand,Jess Sims,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2020-07-30 11:56 (EST),,,,,,,98,119.13,,
2020-12-14 14:38 (EST),On Demand,Olivia Amato,20,Cycling,Low Impact,20 min Low Impact Ride,2019-09-03 16:51 (EST),143,119,40%,83,17.22,5.73,272,142.47,,
2020-12-14 15:00 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-05 11:00 (EST),,,,,,,49,118.69,,
2020-12-15 11:47 (EST),On Demand,Olivia Amato,30,Cycling,Music,30 min House Ride,2020-10-16 17:24 (EST),277,154,48%,77,19.07,9.53,518,165.84,,
2020-12-15 12:19 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-22 14:28 (EST),,,,,,,55,126.60,,
2020-12-16 12:53 (EST),On Demand,Cody Rigsby,30,Bike Bootcamp,Body Focus,30 min Bootcamp: Core,2020-11-20 07:24 (EST),120,,,,17.53,4.27,341,128.17,,
2020-12-16 13:25 (EST),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-01 07:00 (EST),,,,,,,46,113.96,,
2020-12-17 19:21 (EST),On Demand,Olivia Amato,15,Strength,Bodyweight,15 min Bodyweight Strength,2020-12-09 08:30 (EST),,,,,,,98,,,
