Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-01-12 13:35 (EST),On Demand,Chelsea Jackson Roberts,10,Meditation,Mindfulness,10 min Year of Yes Meditation,2020-12-28 10:00 (EST),,,,,,,,,,
2021-01-13 11:47 (EST),On Demand,Matty Maggiacomo,5,Strength,Warm Up,5 min Full Body Warm Up,2020-10-04 10:00 (EST),,,,,,,45,112.99,,
2021-01-13 11:55 (EST),On Demand,Alex Toussaint,30,Cycling,Music,30 min Motown Ride,2019-02-23 14:34 (EST),257,143,46%,78,18.57,9.28,460,153.49,,
2021-01-13 12:27 (EST),On Demand,Alex Toussaint,5,Cycling,Low Impact,5 min Cool Down Ride,2019-10-03 15:39 (EST),27,89,41%,69,15.27,1.27,65,139.13,,
2021-01-13 12:33 (EST),On Demand,Robin Arzon,10,Stretching,Full Body Stretch,10 min Year of Yes Full Body Stretch,2021-01-07 16:16 (EST),,,,,,,92,114.87,,
2021-01-13 23:45 (EST),On Demand,Kristin McGee,15,Meditation,Relax & Sleep,15 min Sleep Meditation,2020-10-29 10:00 (EST),,,,,,,,,,
2021-01-14 08:46 (EST),Live,Ross Rayburn,10,Meditation,Emotions,10 min Energizing Meditation,2021-01-14 08:36 (EST),,,,,,,,,,
2021-01-14 09:25 (EST),On Demand,Erik Jager,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-07-21 12:31 (EST),,,,,,,71,101.12,,
2021-01-14 09:37 (EST),On Demand,Cliff Dwenger,10,Cycling,Low Impact,10 min Low Impact Ride,2021-01-12 01:22 (EST),70,116,44%,73,17.09,2.85,124,134.59,,
2021-01-14 23:53 (EST),On Demand,Cody Rigsby,10,Meditation,Relax & Sleep,10 min Calming Meditation,2021-01-12 10:00 (EST),,,,,,,,,,
2021-01-15 10:58 (EST),On Demand,Hannah Corbin,30,Cycling,Music,30 min Shakira Ride,2019-09-19 19:19 (EST),274,152,47%,77,18.92,9.46,474,156.50,,
2021-01-15 11:31 (EST),On Demand,Hannah Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-12 14:30 (EST),,,,,,,55,126.15,,
2021-01-15 11:39 (EST),On Demand,Hannah Corbin,10,Strength,Pilates,10 min Pilates,2020-12-16 09:00 (EST),,,,,,,88,111.59,,
2021-01-16 15:42 (EST),On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,2020-12-28 09:33 (EST),85,141,43%,83,18.52,3.09,144,147.15,,
2021-01-16 15:56 (EST),On Demand,Erik Jager,10,Strength,Bodyweight,10 min Bodyweight Strength,2021-01-10 10:15 (EST),,,,,,,122,133.27,,
2021-01-16 16:07 (EST),On Demand,Selena Samuela,10,Stretching,Full Body Stretch,10 min AHM Celebration: Full Body,2020-05-26 13:30 (EST),,,,,,,85,108.87,,
2021-01-16 22:39 (EST),On Demand,Chelsea Jackson Roberts,10,Meditation,Mindfulness,10 min Family Meditation,2021-01-07 11:43 (EST),,,,,,,,,,
2021-01-17 08:00 (EST),Live,Olivia Amato,45,Cycling,Intervals,45 min Intervals & Arms Ride,2021-01-17 07:53 (EST),396,147,46%,75,18.34,13.76,809,170.48,,
2021-01-17 08:48 (EST),On Demand,Olivia Amato,10,Cycling,Low Impact,10 min Cool Down Ride,2020-09-28 06:32 (EST),22,37,33%,54,10.28,1.71,124,134.81,,
2021-01-17 09:00 (EST),On Demand,Olivia Amato,10,Stretching,Lower Body Stretch,10 min Glutes & Legs Stretch,2020-01-21 10:32 (EST),,,,,,,106,123.19,,
